# commit=a031675 dirty=True saved_utc=2026-08-21T19:39:23+00:00
n_tri,rcond_min,rcond_p05,frac_rcond_lt_1e3,frac_rcond_lt_1e4,quality_min,quality_p05,area_min_over_mean,k_min_over_mean,frac_k_lt_1e3,run_id,topo,nu_target,nu_achieved,gap,dnu_bulk,dnu_worst
108,6.910337193641433e-10,1.922863674175729e-05,0.08333333333333333,0.07407407407407407,0.00857102405175716,0.09592744601018185,0.005487886629009823,1.0,0.0,83,foam_poisson,0.1,0.11107170808208691,0.11748762068697138,0.009992125645821096,0.01548013851595452
108,5.074575321667151e-06,0.007134521457846989,0.027777777777777776,0.027777777777777776,0.07900758619688224,0.46473051177205016,0.07373774275964134,1.0,0.0,84,foam_poisson,0.2,0.20123766460582276,1.019647329873466e-11,6.888378756286784e-13,1.2569945084806022e-12
108,0.011378414420135563,0.025208431419138286,0.0,0.0,0.34955610105238333,0.5437745277586256,0.21942022564902186,1.0,0.0,85,foam_poisson,0.3,0.30025164158265927,1.2157218967115308e-12,6.039613253960852e-14,1.680877659282487e-13
108,0.010828408011699112,0.027517620988399195,0.0,0.0,0.3981544378265169,0.5338184127512591,0.14482588582024367,1.0,0.0,86,foam_poisson,0.4,0.33356708336905866,1.1191344921659231e-12,2.6145752229922437e-14,1.1829426327381043e-13
108,0.010463638260210713,0.031973751025773926,0.0,0.0,0.5048124731199889,0.605639465615982,0.22389620369097435,1.0,0.0,87,foam_poisson,0.6,0.3389406093771034,8.451710570356248e-13,4.9682480351975755e-14,8.432143872028064e-14
108,0.006180559499144159,0.02445027486345986,0.0,0.0,0.40746890027811067,0.5893777502190543,0.20030722426492853,1.0,0.0,88,foam_poisson,0.9,0.340169359428914,1.1152748648335376e-12,4.168887457467463e-14,8.876233081878127e-14
112,8.392836139897483e-13,2.480789196571315e-07,0.15178571428571427,0.11607142857142858,0.0016054220958120534,0.03286270953474424,0.002321068686583275,1.0,0.0,89,flipped_tri_f8,-0.95,-0.2634133873588466,0.7940938170302783,0.12280291915871933,0.16950372475340644
112,3.354029190969041e-13,1.4662870242621632e-07,0.16071428571428573,0.125,0.0011373000615813094,0.032635990909269524,0.0011808832565517837,1.0,0.0,90,flipped_tri_f8,-0.75,-0.27235019097298546,0.699896946718026,0.13059580248378017,0.15614424686759576
112,2.8524676664301187e-06,0.0009152240400166001,0.05357142857142857,0.026785714285714284,0.07061453788037525,0.25997515107064856,0.10129404066340458,1.0,0.0,91,flipped_tri_f8,-0.5,-0.05715417651873375,0.5764563720598376,0.03334617154322729,0.045412761816902486
112,2.8524676664301187e-06,0.0009152240400166001,0.05357142857142857,0.026785714285714284,0.07061453788037525,0.25997515107064856,0.10129404066340458,1.0,0.0,92,flipped_tri_f8,-0.3,-0.05715417651873375,0.5764563720598376,0.03334617154322729,0.045412761816902486
112,2.8524676664301187e-06,0.0009152240400166001,0.05357142857142857,0.026785714285714284,0.07061453788037525,0.25997515107064856,0.10129404066340458,1.0,0.0,93,flipped_tri_f8,-0.1,-0.05715417651873375,0.5764563720598376,0.03334617154322729,0.045412761816902486
112,2.1723551423906582e-06,0.003382612217919297,0.026785714285714284,0.008928571428571428,0.062125077464193025,0.3849191590645068,0.15367628988352652,1.0,0.0,94,flipped_tri_f8,0.1,0.10079555781895558,0.08307112957011932,0.0005408402610467128,0.009532895819108447
112,8.388621672652329e-07,0.004964718516915885,0.017857142857142856,0.017857142857142856,0.05213853642753998,0.4348450217225961,0.09326066313007524,1.0,0.0,95,flipped_tri_f8,0.2,0.20025149427858216,9.255670732658602e-12,9.378053889008697e-13,1.3832823775317138e-12
112,0.0018130285438690903,0.011111417491239128,0.0,0.0,0.26838121026117095,0.5105343739262236,0.17262207227602747,1.0,0.0,96,flipped_tri_f8,0.3,0.3007172075430107,2.3481290473688082e-12,1.2101430968414206e-13,3.3240077357277187e-13
112,0.001539143283009189,0.014281800267280828,0.0,0.0,0.21820327532627742,0.4455130502004183,0.11221953461194634,1.0,0.0,97,flipped_tri_f8,0.4,0.3256203468793945,3.993056752625075e-12,1.6997514507011147e-13,4.2155168245017194e-13
112,0.000680316340646675,0.010033347868676807,0.008928571428571428,0.0,0.18201665829045327,0.4712812105260675,0.13950408448510102,1.0,0.0,98,flipped_tri_f8,0.6,0.33258661286889063,4.292815815579381e-12,2.275957200481571e-14,5.404010572362949e-13
112,0.000680316340646675,0.010033347868676807,0.008928571428571428,0.0,0.18201665829045327,0.4712812105260675,0.13950408448510102,1.0,0.0,99,flipped_tri_f8,0.9,0.33258661286889063,4.292815815579381e-12,2.275957200481571e-14,5.404010572362949e-13
112,1.881952795289372e-08,9.57126065637201e-06,0.11607142857142858,0.08035714285714286,0.01915209961972531,0.09360218785214221,0.018278817160466886,1.0,0.0,100,flipped_tri_f14,-0.95,-0.18295597956286105,0.9149844549956516,0.1485280478374897,0.1834673982540928
112,4.670356598070761e-10,3.101158565665974e-05,0.15178571428571427,0.08928571428571429,0.008008900001966277,0.10051368158644396,0.02727601039835352,1.0,0.0,101,flipped_tri_f14,-0.75,-0.2145454471154788,0.9871430529218481,0.1947872809475224,0.2368071919214027
112,2.5153023615281534e-08,1.852356976485571e-05,0.16071428571428573,0.08035714285714286,0.0134575748024458,0.10411429763166423,0.011364865346448854,1.0,0.0,102,flipped_tri_f14,-0.5,-0.1973685209204348,0.9892202640429367,0.1889852615703951,0.2203932792476649
112,2.2757505620769733e-08,2.7531506078582342e-05,0.14285714285714285,0.07142857142857142,0.01968179195845581,0.09944563124455683,0.02458212869048093,1.0,0.0,103,flipped_tri_f14,-0.3,-0.1783373082286609,0.6493318427251599,0.1150996451475601,0.13107427110306755
112,4.681180521673936e-08,7.272748599697369e-05,0.09821428571428571,0.08035714285714286,0.022905023961714278,0.1469547120846449,0.01481852793890575,1.0,0.0,104,flipped_tri_f14,-0.1,-0.030204878963347732,0.7917024782302108,0.04248682635540973,0.06631306471101765
112,8.346741056584032e-11,0.0006767085236993307,0.0625,0.03571428571428571,0.004001300731894705,0.2712632995838845,0.003676386451130023,1.0,0.0,105,flipped_tri_f14,0.1,0.09988852430019277,4.1781175432938006e-10,4.650307916520546e-12,4.728940850018404e-11
112,8.41508606295166e-06,0.004292211624251392,0.026785714285714284,0.017857142857142856,0.08173635130512392,0.412135895373641,0.14855804777764872,1.0,0.0,106,flipped_tri_f14,0.2,0.19922949223696848,4.217094409335847e-12,1.5787371410169726e-13,4.4150794131780913e-13
112,6.27502685162904e-06,0.01770338236988027,0.017857142857142856,0.017857142857142856,0.08405129931170617,0.5035600563443057,0.04117194347566506,1.0,0.0,107,flipped_tri_f14,0.3,0.2995416830423271,4.195594030464616e-12,3.0475622025960547e-13,5.539457781367219e-13
112,0.00016797170480403964,0.01694955391910599,0.008928571428571428,0.0,0.19248162308566855,0.4821875164408581,0.1916598775158751,1.0,0.0,108,flipped_tri_f14,0.4,0.3324703342685552,1.8938057015437863e-12,3.058664432842306e-14,2.62234678416462e-13
